Juegos{game='NBA 2K14', platform='PS4', developer='Visual Concepts', genre='Sports', numberPlayers='Up to 10 ', rating='E', releaseDate='Nov 12, 2013', positiveCritics=19, neutralCritics=1, negativeCritics=0, positiveUsers=23, neutralUsers=12, negativeUsers=31, metascore=85.0, userScore=65.0}
Juegos{game='Football Manager 2014', platform='PC', developer='Sports Interactive', genre='Sports', numberPlayers='', rating='E', releaseDate='Oct 30, 2013', positiveCritics=40, neutralCritics=1, negativeCritics=0, positiveUsers=17, neutralUsers=10, negativeUsers=55, metascore=85.0, userScore=56.0}
Juegos{game='MLB 13: The Show', platform='VITA', developer='SCEA San Diego Studios', genre='Sports', numberPlayers='', rating='E', releaseDate='Mar  5, 2013', positiveCritics=5, neutralCritics=2, negativeCritics=0, positiveUsers=7, neutralUsers=0, negativeUsers=0, metascore=75.0, userScore=75.0}
Juegos{game='Madden NFL 25', platform='PS4', developer='EA Sports', genre='Sports', numberPlayers='', rating='E', releaseDate='Nov 12, 2013', positiveCritics=7, neutralCritics=6, negativeCritics=0, positiveUsers=16, neutralUsers=6, negativeUsers=13, metascore=74.0, userScore=52.0}
Juegos{game='Pro Evolution Soccer 2014', platform='PC', developer='Konami', genre='Sports', numberPlayers='', rating='E', releaseDate='Nov 12, 2013', positiveCritics=3, neutralCritics=6, negativeCritics=0, positiveUsers=10, neutralUsers=17, negativeUsers=37, metascore=74.0, userScore=44.0}
Juegos{game='Madden NFL 25', platform='XONE', developer='EA Sports', genre='Sports', numberPlayers='', rating='E', releaseDate='Nov 19, 2013', positiveCritics=11, neutralCritics=7, negativeCritics=0, positiveUsers=8, neutralUsers=12, negativeUsers=5, metascore=73.0, userScore=58.0}
Juegos{game='Wii Fit U', platform='WIIU', developer='Nintendo', genre='Sports', numberPlayers='', rating='E', releaseDate='Nov  1, 2013', positiveCritics=12, neutralCritics=6, negativeCritics=1, positiveUsers=11, neutralUsers=1, negativeUsers=1, metascore=72.0, userScore=77.0}
Juegos{game='Inazuma Eleven 3: Bomb Blast', platform='3DS', developer='Level 5', genre='Sports', numberPlayers='', rating='', releaseDate='Sep 27, 2013', positiveCritics=6, neutralCritics=12, negativeCritics=0, positiveUsers=1, neutralUsers=1, negativeUsers=0, metascore=72.0, userScore=77.0}
Juegos{game='Inazuma Eleven 3: Lightning Bolt', platform='3DS', developer='Level 5', genre='Sports', numberPlayers='', rating='', releaseDate='Sep 27, 2013', positiveCritics=5, neutralCritics=14, negativeCritics=0, positiveUsers=1, neutralUsers=0, negativeUsers=0, metascore=70.0, userScore=72.0}
Juegos{game='Real Boxing', platform='VITA', developer='Vivid Games', genre='Sports', numberPlayers='2', rating='T', releaseDate='Sep 17, 2013', positiveCritics=5, neutralCritics=12, negativeCritics=0, positiveUsers=0, neutralUsers=2, negativeUsers=1, metascore=69.0, userScore=68.0}
Juegos{game='Wii Sports Club', platform='WIIU', developer='Nintendo', genre='Sports', numberPlayers='Up to 4 ', rating='E10+', releaseDate='Nov  7, 2013', positiveCritics=4, neutralCritics=17, negativeCritics=0, positiveUsers=12, neutralUsers=8, negativeUsers=6, metascore=68.0, userScore=70.0}
Juegos{game='Table Mini Golf', platform='VITA', developer='Four Door Lemon', genre='Sports', numberPlayers='', rating='E', releaseDate='Apr  9, 2013', positiveCritics=0, neutralCritics=6, negativeCritics=1, positiveUsers=0, neutralUsers=0, negativeUsers=0, metascore=56.0, userScore=53.0}
Juegos{game='Mario & Sonic at the Sochi 2014 Olympic Winter Games', platform='WIIU', developer='Nintendo, Sega Sports R&D', genre='Sports', numberPlayers='1-4 ', rating='E', releaseDate='Nov 15, 2013', positiveCritics=0, neutralCritics=31, negativeCritics=8, positiveUsers=5, neutralUsers=4, negativeUsers=4, metascore=55.0, userScore=61.0}
Juegos{game='Speedball 2 HD', platform='PC', developer='Vivid Games', genre='Sports', numberPlayers='', rating='', releaseDate='Dec  5, 2013', positiveCritics=0, neutralCritics=7, negativeCritics=3, positiveUsers=0, neutralUsers=1, negativeUsers=4, metascore=53.0, userScore=38.0}
Juegos{game='Lords of Football', platform='PC', developer='Geniaware', genre='Sports', numberPlayers='', rating='', releaseDate='Apr  5, 2013', positiveCritics=0, neutralCritics=9, negativeCritics=4, positiveUsers=12, neutralUsers=5, negativeUsers=4, metascore=52.0, userScore=64.0}
Juegos{game='Lets Fish! Hooked On', platform='VITA', developer='SIMS', genre='Sports', numberPlayers='', rating='E', releaseDate='Jan 29, 2013', positiveCritics=0, neutralCritics=4, negativeCritics=7, positiveUsers=0, neutralUsers=0, negativeUsers=0, metascore=41.0, userScore=65.0}
Juegos{game='Fighter Within', platform='XONE', developer='Ubisoft', genre='Sports', numberPlayers='', rating='T', releaseDate='Nov 19, 2013', positiveCritics=0, neutralCritics=1, negativeCritics=38, positiveUsers=3, neutralUsers=4, negativeUsers=13, metascore=23.0, userScore=28.0}
Juegos{game='Out of the Park Baseball 15', platform='PC', developer='', genre='Sports', numberPlayers='', rating='', releaseDate='Apr 21, 2014', positiveCritics=8, neutralCritics=0, negativeCritics=0, positiveUsers=14, neutralUsers=0, negativeUsers=1, metascore=89.0, userScore=72.0}
Juegos{game='MLB 14: The Show', platform='PS4', developer='SCEA San Diego Studios', genre='Sports', numberPlayers='', rating='E', releaseDate='May  6, 2014', positiveCritics=17, neutralCritics=0, negativeCritics=0, positiveUsers=30, neutralUsers=7, negativeUsers=5, metascore=83.0, userScore=76.0}
