Juegos{game='Nintendo Land', platform='WIIU', developer='Nintendo', genre='Miscellaneous', numberPlayers='1-5 ', rating='E10+', releaseDate='Nov 18, 2012', positiveCritics=42, neutralCritics=19, negativeCritics=0, positiveUsers=85, neutralUsers=39, negativeUsers=1, metascore=77.0, userScore=79.0}
Juegos{game='Puddle', platform='VITA', developer='Neko Entertainment', genre='Miscellaneous', numberPlayers='1 Player', rating='T', releaseDate='Jul 24, 2012', positiveCritics=8, neutralCritics=2, negativeCritics=0, positiveUsers=0, neutralUsers=2, negativeUsers=1, metascore=77.0, userScore=55.0}
Juegos{game='Quantum Conundrum', platform='PC', developer='Airtight Games', genre='Miscellaneous', numberPlayers='', rating='E', releaseDate='Jun 21, 2012', positiveCritics=45, neutralCritics=14, negativeCritics=1, positiveUsers=23, neutralUsers=17, negativeUsers=6, metascore=77.0, userScore=73.0}
Juegos{game='Your Shape: Fitness Evolved 2013', platform='WIIU', developer='Blue Byte', genre='Miscellaneous', numberPlayers='', rating='E10+', releaseDate='Nov 18, 2012', positiveCritics=5, neutralCritics=3, negativeCritics=0, positiveUsers=3, neutralUsers=0, negativeUsers=0, metascore=76.0, userScore=63.0}
Juegos{game='escapeVektor', platform='3DS', developer='Nnooo', genre='Miscellaneous', numberPlayers='', rating='E', releaseDate='Dec 20, 2012', positiveCritics=7, neutralCritics=5, negativeCritics=0, positiveUsers=0, neutralUsers=0, negativeUsers=0, metascore=75.0, userScore=76.0}
Juegos{game='NightSky', platform='3DS', developer='Nicalis', genre='Miscellaneous', numberPlayers='1 Player', rating='E', releaseDate='Oct 25, 2012', positiveCritics=10, neutralCritics=4, negativeCritics=0, positiveUsers=5, neutralUsers=0, negativeUsers=0, metascore=75.0, userScore=76.0}
Juegos{game='Symphony', platform='PC', developer='Empty Clip Studios', genre='Miscellaneous', numberPlayers='', rating='', releaseDate='Aug  6, 2012', positiveCritics=8, neutralCritics=5, negativeCritics=0, positiveUsers=13, neutralUsers=2, negativeUsers=2, metascore=75.0, userScore=77.0}
Juegos{game='Frobisher Says!', platform='VITA', developer='Honeyslug Ltd', genre='Miscellaneous', numberPlayers='', rating='E10+', releaseDate='Oct 23, 2012', positiveCritics=10, neutralCritics=4, negativeCritics=0, positiveUsers=12, neutralUsers=3, negativeUsers=3, metascore=74.0, userScore=73.0}
Juegos{game='Incredipede', platform='PC', developer='Northway Games', genre='Miscellaneous', numberPlayers='1 Player', rating='', releaseDate='Oct 25, 2012', positiveCritics=2, neutralCritics=5, negativeCritics=0, positiveUsers=4, neutralUsers=4, negativeUsers=0, metascore=74.0, userScore=69.0}
Juegos{game='Smart as...', platform='VITA', developer='XDEV', genre='Miscellaneous', numberPlayers='', rating='E', releaseDate='Oct 23, 2012', positiveCritics=11, neutralCritics=18, negativeCritics=0, positiveUsers=5, neutralUsers=4, negativeUsers=2, metascore=72.0, userScore=72.0}
